,DA_Prices,Total_Wind_Fcast,Total_Demand_Fcast,Wind_Penetration_Fcast,GBIE_Flow,IEGB_Flow,Value
01/12/2019 00:00,54.952,593.248,3894.52,0.152,106,0,106
01/12/2019 01:00,51.636,506.579,3626.98,0.14,101,0,101
01/12/2019 02:00,47.193,473.689,3439.852,0.138,219,0,219
01/12/2019 03:00,43,454.753,3330.469,0.137,301,0,301
01/12/2019 04:00,42.031,450.363,3281.872,0.137,297,0,297
01/12/2019 05:00,41.54,456.144,3257.158,0.14,378,0,378
01/12/2019 06:00,42.87,464.801,3317.597,0.14,272,0,272
01/12/2019 07:00,41.647,465.121,3487.143,0.133,379,0,379
01/12/2019 08:00,44.477,462.9,3680.837,0.126,306,0,306
01/12/2019 09:00,54.038,427.306,4071.036,0.105,365,0,365
01/12/2019 10:00,55.476,380.33,4412.602,0.086,557,0,557
01/12/2019 11:00,55.54,347.456,4602.163,0.075,617,0,617
01/12/2019 12:00,58.305,330.597,4785.061,0.069,710,0,710
01/12/2019 13:00,59.32,318.692,4812.423,0.066,677,0,677
01/12/2019 14:00,55,303.494,4700.005,0.065,664,0,664
01/12/2019 15:00,61.505,290.495,4661.867,0.062,708,0,708
01/12/2019 16:00,77.283,288.388,4908.658,0.059,823,0,823
01/12/2019 17:00,136.96,294.483,5397.689,0.055,978,0,978
01/12/2019 18:00,115,300.634,5396.699,0.056,980,0,980
01/12/2019 19:00,76,282.559,5165.821,0.055,977,0,977
01/12/2019 20:00,56.583,260.016,4961.097,0.052,938,0,938
01/12/2019 21:00,56,234.153,4645.526,0.05,956,0,956
01/12/2019 22:00,49.4,210.661,4227.515,0.05,967,0,967
01/12/2019 23:00,52.645,191.56,4031.634,0.048,979,0,979
